City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,10.27,38,21,2.63,NZ,1670292522
1,quelimane,-17.8786,36.8883,25.12,84,20,2.24,MZ,1670292523
2,souillac,-20.5167,57.5167,24.59,79,51,6.71,MU,1670292523
3,kapaa,22.0752,-159.319,26.18,86,75,6.17,US,1670292524
4,burla,21.5,83.8667,17.11,54,0,1.1,IN,1670292524
5,tumut,-35.3,148.2167,21.51,46,15,3.43,AU,1670292525
6,biryusinsk,55.9634,97.8235,-14.29,79,96,6.41,RU,1670292525
7,ushuaia,-54.8,-68.3,5.79,65,40,7.72,AR,1670292525
8,hithadhoo,-0.6,73.0833,27.35,74,100,4.0,MV,1670292526
9,san patricio,28.017,-97.5169,22.31,86,29,5.62,US,1670292526
10,omsukchan,62.5333,155.8,-24.92,97,100,1.62,RU,1670292527
11,cape town,-33.9258,18.4232,19.1,70,38,2.68,ZA,1670292527
12,saskylakh,71.9167,114.0833,-24.13,97,100,9.22,RU,1670292528
13,butaritari,3.0707,172.7902,27.07,81,100,6.85,KI,1670292528
14,mount gambier,-37.8333,140.7667,19.41,42,100,3.01,AU,1670292529
15,arraial do cabo,-22.9661,-42.0278,23.13,89,100,9.86,BR,1670292529
16,yulara,-25.2406,130.9889,39.41,9,3,9.2,AU,1670292529
17,thompson,55.7435,-97.8558,-29.26,96,92,2.77,CA,1670292530
18,iralaya,15.0,-83.2333,25.21,80,16,4.23,HN,1670292530
19,khatanga,71.9667,102.5,-25.17,89,100,4.67,RU,1670292531
20,banikoara,11.2985,2.4386,23.38,21,5,2.27,BJ,1670292531
21,mehamn,71.0357,27.8492,1.97,93,75,4.12,NO,1670292532
22,salalah,17.0151,54.0924,21.85,68,7,2.03,OM,1670292532
23,albany,42.6001,-73.9662,3.5,54,96,2.42,US,1670292342
24,dikson,73.5069,80.5464,-5.54,96,100,5.27,RU,1670292533
